SYMBOL,Name,ISIN,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,TIMESTAMP
NSE:CENTENKA,Century Enka Limited,INE485A01015,EQ,328,330.95,320,322,324.5,31-Jan-18
NSE:CENTEXT,Century Extrusions Limited,INE281A01026,EQ,6.8,6.8,6.25,6.35,6.5,31-Jan-18
NSE:CENTRALBK,Central Bank of India,INE483A01010,EQ,73.05,73.75,72.5,73.05,73.05,31-Jan-18
NSE:CENTUM,Centum Electronics Limited,INE320B01020,EQ,650,673.9,634,659.8,655.2,31-Jan-18
NSE:CENTURYPLY,Century Plyboards (India) Limited,INE348B01021,EQ,327.7,329,313.4,321.15,320.7,31-Jan-18
NSE:CENTURYTEX,Century Textiles & Industries Limited,INE055A01016,EQ,1390,1405.2,1376.6,1388.25,1389.2,31-Jan-18
NSE:CERA,Cera Sanitaryware Limited,INE739E01017,EQ,3523,3523,3450.1,3472.85,3469.95,31-Jan-18
NSE:CEREBRAINT,Cerebra Integrated Technologies Limited,INE345B01019,EQ,55,55.8,52.9,55.65,55.25,31-Jan-18
NSE:CESC,CESC Limited,INE486A01013,EQ,1066,1074.35,1050,1054.75,1053,31-Jan-18
NSE:CGCL,Capri Global Capital Limited,INE180C01026,EQ,109.5,113.95,109,110.7,111,31-Jan-18
NSE:CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,EQ,90.5,92,90.3,90.9,90.7,31-Jan-18
NSE:CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013,EQ,156.15,162,153.6,160.35,161.65,31-Jan-18
NSE:CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,EQ,419,423.35,411.35,413.7,412.1,31-Jan-18
NSE:CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01016,EQ,1309,1324.9,1276.05,1286.05,1291.1,31-Jan-18
NSE:CINELINE,Cineline India Limited,INE704H01022,EQ,95.1,99.4,91.3,94.2,93.75,31-Jan-18
NSE:CIPLA,Cipla Limited,INE059A01026,EQ,608,608.5,590,592.15,591.8,31-Jan-18
NSE:CLEDUCATE,CL Educate Limited,INE201M01011,EQ,267.05,272.9,264,267,265.1,31-Jan-18
NSE:CLNINDIA,Clariant Chemicals (India) Limited,INE492A01029,EQ,630.05,646.95,618,636.75,640.55,31-Jan-18
NSE:CMICABLES,CMI Limited,INE981B01011,EQ,258,263,251,259.05,258.3,31-Jan-18
NSE:CNOVAPETRO,CIL Nova Petrochemicals Limited,INE672K01025,EQ,36,36,35.5,36,36,31-Jan-18
NSE:COALINDIA,Coal India Limited,INE522F01014,EQ,303.5,304.55,298,299.55,300.5,31-Jan-18
NSE:COCHINSHIP,Cochin Shipyard Limited,INE704P01017,EQ,536.2,546.5,532,537.7,535,31-Jan-18
NSE:COFFEEDAY,Coffee Day Enterprises Limited,INE335K01011,EQ,335,336.8,316.95,318.9,317.95,31-Jan-18
NSE:COLPAL,Colgate Palmolive (India) Limited,INE259A01022,EQ,1135,1142,1116.65,1121.35,1120.1,31-Jan-18
NSE:COMPINFO,Compuage Infocom Limited,INE070C01037,EQ,47.3,50,46.45,48,48,31-Jan-18
NSE:CONCOR,Container Corporation of India Limited,INE111A01017,EQ,1370.25,1395,1363.05,1390.3,1391,31-Jan-18
NSE:CONSOFINVT,Consolidated Finvest & Holdings Limited,INE025A01027,EQ,78,80.45,76.55,78.8,78.8,31-Jan-18
NSE:CONTROLPR,Control Print Limited,INE663B01015,EQ,465.05,470,450.5,452.25,452,31-Jan-18
NSE:CORALFINAC,Coral India Finance & Housing Limited,INE558D01021,EQ,38.95,38.95,37.05,37.7,37.65,31-Jan-18
NSE:COROMANDEL,Coromandel International Limited,INE169A01031,EQ,528.45,561,522.35,554.6,559.95,31-Jan-18
NSE:CORPBANK,Corporation Bank,INE112A01023,EQ,38.65,38.95,38.5,38.65,38.75,31-Jan-18
NSE:COSMOFILMS,Cosmo Films Limited,INE757A01017,EQ,356,356,349,350.65,351.8,31-Jan-18
NSE:COX&KINGS,Cox & Kings Limited,INE008I01026,EQ,251.75,262.95,247.25,249.75,249.2,31-Jan-18
NSE:CREATIVEYE,Creative Eye Limited,INE230B01021,EQ,4.5,4.75,4.35,4.35,4.35,31-Jan-18
NSE:CREST,Crest Ventures Limited,INE559D01011,EQ,224.45,245,221.6,233.35,245,31-Jan-18
NSE:CRISIL,CRISIL Limited,INE007A01025,EQ,1930.05,1949.45,1922.75,1938.55,1947,31-Jan-18
NSE:CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,EQ,238.05,252,232.3,249.15,248,31-Jan-18
NSE:CTE,Cambridge Technology Enterprises Limited,INE627H01017,EQ,85,88.35,84.95,84.95,84.95,31-Jan-18
NSE:CUB,City Union Bank Limited,INE491A01021,EQ,162.95,164,158,158.7,159.8,31-Jan-18
NSE:CUMMINSIND,Cummins India Limited,INE298A01020,EQ,910,924.4,900.05,903.9,900.05,31-Jan-18
NSE:CUPID,Cupid Limited,INE509F01011,EQ,340.4,357.9,339,344.8,344,31-Jan-18
NSE:CYBERTECH,Cybertech Systems And Software Limited,INE214A01019,EQ,80.7,82.1,79.1,81.15,81,31-Jan-18
NSE:CYIENT,Cyient Limited,INE136B01020,EQ,627.4,648,627.4,641.85,636,31-Jan-18
NSE:DAAWAT,LT Foods Limited,INE818H01020,EQ,87.05,94.15,86.6,90.5,90.25,31-Jan-18
NSE:DABUR,Dabur India Limited,INE016A01026,EQ,359.35,360.8,346.65,355.6,356.5,31-Jan-18
NSE:DALMIABHA,Dalmia Bharat Limited,INE439L01019,EQ,2932,2962.05,2914,2935.25,2939.95,31-Jan-18
NSE:DALMIASUG,Dalmia Bharat Sugar and Industries Limited,INE495A01022,EQ,103,107.7,102.8,106.8,107.55,31-Jan-18
NSE:DAMODARIND,Damodar Industries Limited,INE497D01014,EQ,122.25,126.9,122.25,125.35,126,31-Jan-18
NSE:DATAMATICS,Datamatics Global Services Limited,INE365B01017,EQ,130.05,135.5,129.2,134.2,133.6,31-Jan-18
NSE:DBCORP,D.B.Corp Limited,INE950I01011,EQ,335.45,335.45,324.15,326.05,325,31-Jan-18
NSE:DBL,Dilip Buildcon Limited,INE917M01012,EQ,928.7,929,899,909.75,909,31-Jan-18
NSE:DBREALTY,D B Realty Limited,INE879I01012,EQ,62.85,63.4,59.85,61.1,60.6,31-Jan-18
NSE:DBSTOCKBRO,DB (International) Stock Brokers Limited,INE921B01025,EQ,10.4,10.4,10.4,10.4,10.4,31-Jan-18
NSE:DCAL,Dishman Carbogen Amcis Limited,INE385W01011,EQ,375,385,360,375.8,378.6,31-Jan-18
NSE:DCBBANK,DCB Bank Limited,INE503A01015,EQ,178,181.45,172.55,173.45,173.85,31-Jan-18
NSE:DCM,DCM  Limited,INE498A01018,EQ,103.3,105.5,101,102.25,102.2,31-Jan-18
NSE:DCMSHRIRAM,DCM Shriram Limited,INE499A01024,EQ,586,598.95,570,572.8,573.3,31-Jan-18
NSE:DECCANCE,Deccan Cements Limited,INE583C01021,EQ,572,587,562.05,569.15,575,31-Jan-18
NSE:DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,EQ,395.1,404.7,388,398.55,398,31-Jan-18
NSE:DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,EQ,280,284,274.25,278.1,277.95,31-Jan-18
NSE:DEEPIND,Deep Industries Limited,INE677H01012,EQ,210.8,210.85,202.4,204.1,204.3,31-Jan-18
NSE:DELTACORP,Delta Corp Limited,INE124G01033,EQ,355,364,341,345.8,344.95,31-Jan-18
NSE:DEN,Den Networks Limited,INE947J01015,EQ,110.4,113.15,108.6,110.5,110.65,31-Jan-18
NSE:DENABANK,Dena Bank,INE077A01010,EQ,25,25.4,24.85,25.1,25.15,31-Jan-18
NSE:DENORA,De Nora India Limited,INE244A01016,EQ,346,397.5,325,373.95,372.5,31-Jan-18
NSE:DFMFOODS,DFM Foods Limited,INE456C01012,EQ,1604.95,1634.95,1577,1596.5,1599.95,31-Jan-18
NSE:DHAMPURSUG,Dhampur Sugar Mills Limited,INE041A01016,EQ,184.7,192.3,184.1,190.7,190.6,31-Jan-18
NSE:DHANBANK,Dhanlaxmi Bank Limited,INE680A01011,EQ,26.7,27.15,26.4,26.7,26.45,31-Jan-18
NSE:DHANUKA,Dhanuka Agritech Limited,INE435G01025,EQ,770,783.75,746.05,756.95,749,31-Jan-18
NSE:DHARSUGAR,Dharani Sugars & Chemicals Limited,INE988C01014,EQ,25.7,26.55,24.6,25.15,25.15,31-Jan-18
NSE:DHFL,Dewan Housing Finance Corporation Limited,INE202B01012,EQ,586,594,578.1,582.2,582.1,31-Jan-18
NSE:DHUNINV,Dhunseri Investments Limited,INE320L01011,EQ,460,463,422.1,431.05,427,31-Jan-18
NSE:DIAMONDYD,Prataap Snacks Limited,INE393P01035,EQ,1153,1170,1109.75,1148.8,1150,31-Jan-18
NSE:DIAPOWER,Diamond Power Infra Ltd,INE989C01012,EQ,18.9,19,18.1,18.3,18.4,31-Jan-18
NSE:DICIND,DIC India Limited,INE303A01010,EQ,549.65,559,545,549.25,548,31-Jan-18
NSE:DISHTV,Dish TV India Limited,INE836F01026,EQ,75.15,75.9,74.65,75.2,75,31-Jan-18
NSE:DIVISLAB,Divi's Laboratories Limited,INE361B01024,EQ,1079.9,1079.9,1009,1039.4,1043.05,31-Jan-18
NSE:DIXON,Dixon Technologies (India) Limited,INE935N01012,EQ,3790,3835,3719.55,3750.35,3750,31-Jan-18
NSE:DLF,DLF Limited,INE271C01023,EQ,253.05,257.6,247.55,250.1,250.2,31-Jan-18
NSE:DLINKINDIA,D-Link (India) Limited,INE250K01012,EQ,123.95,133.9,122.75,129.15,129.25,31-Jan-18
NSE:DMART,Avenue Supermarts Limited,INE192R01011,EQ,1180,1210,1172.05,1179.65,1179.5,31-Jan-18
NSE:DNAMEDIA,Diligent Media Corporation Limited,INE016M01021,EQ,8.8,9.45,8.65,8.8,8.85,31-Jan-18
NSE:DOLLAR,Dollar Industries Limited,INE325C01035,EQ,426.05,460,412,446.7,447.7,31-Jan-18
NSE:DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,INE920A01011,EQ,118.05,121.3,116.6,117.75,117.5,31-Jan-18
NSE:DPL,Dhunseri Petrochem Limited,INE477B01010,EQ,151.1,156,147.5,149.75,151,31-Jan-18
NSE:DPSCLTD,DPSC Limited,INE360C01024,EQ,30.5,30.5,30.05,30.2,30.1,31-Jan-18
NSE:DREDGECORP,Dredging Corporation of India Limited,INE506A01018,EQ,690,789.9,685.6,764.75,763,31-Jan-18
NSE:DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01023,EQ,2293,2306.15,2203.55,2225.35,2224,31-Jan-18
NSE:DSSL,Dynacons Systems & Solutions Limited,INE417B01040,EQ,44.25,45.6,44.05,44.65,45.2,31-Jan-18
NSE:DUCON,Ducon Infratechnologies Limited,INE741L01018,EQ,41.45,43.55,40.1,40.65,40.25,31-Jan-18
NSE:DWARKESH,Dwarikesh Sugar Industries Limited,INE366A01041,EQ,42.15,44.2,41.95,42.8,43,31-Jan-18
NSE:DYNAMATECH,Dynamatic Technologies Limited,INE221B01012,EQ,1850,1888.8,1840,1859.4,1858.15,31-Jan-18
NSE:EASTSILK,Eastern Silk Industries Limited,INE962C01027,EQ,5.5,5.75,5.4,5.55,5.55,31-Jan-18
NSE:ECEIND,ECE Industries Limited,INE588B01014,EQ,342.3,376.5,332.1,376.5,376.5,31-Jan-18
NSE:ECLERX,eClerx Services Limited,INE738I01010,EQ,1501,1524.55,1486.35,1509.3,1510.25,31-Jan-18
NSE:EDELWEISS,Edelweiss Financial Services Limited,INE532F01054,EQ,286.9,290,279,280.7,279,31-Jan-18
NSE:EICHERMOT,Eicher Motors Limited,INE066A01013,EQ,26827.3,27387,26525.15,26923.6,26870,31-Jan-18
NSE:EIDPARRY,EID Parry India Limited,INE126A01031,EQ,325.2,337.5,320.55,328.45,332,31-Jan-18
NSE:EIHAHOTELS,EIH Associated Hotels Limited,INE276C01014,EQ,497,509.7,482.45,486.5,485.1,31-Jan-18
NSE:EIHOTEL,EIH Limited,INE230A01023,EQ,199.2,199.2,187.5,191.3,191.15,31-Jan-18
NSE:EIMCOELECO,Eimco Elecon (India) Limited,INE158B01016,EQ,508,508,485,488.05,490,31-Jan-18
